aoi_id,name,country,lat,lon
hamburg,Hamburg,DE,53.55073,9.99302
berlin,Berlin,DE,52.52437,13.41053
munich,Munich,DE,48.13743,11.57549
london,London,GB,51.50853,-0.12574
dublin,Dublin,IE,53.33306,-6.24889
amsterdam,Amsterdam,NL,52.37403,4.88969
paris,Paris,FR,48.85341,2.34880
marseille,Marseille,FR,43.29695,5.38107
madrid,Madrid,ES,40.41650,-3.70256
lisbon,Lisbon,PT,38.72509,-9.14980
rome,Rome,IT,41.89193,12.51133
athens,Athens,GR,37.98376,23.72784
zurich,Zürich,CH,47.36667,8.55000
innsbruck,Innsbruck,AT,47.26266,11.39454
warsaw,Warsaw,PL,52.22977,21.01178
copenhagen,Copenhagen,DK,55.67594,12.56553
stockholm,Stockholm,SE,59.32938,18.06871
oslo,Oslo,NO,59.91273,10.74609
tromso,Tromsø,NO,69.64890,18.95508
reykjavik,Reykjavík,IS,64.13548,-21.89541
